,name,scan_day,operator
321,Allen County Public Library Geneaology Center,2009-08-25,9
322,Allen County Public Library Geneaology Center,2009-08-26,12
323,Allen County Public Library Geneaology Center,2009-08-27,11
324,Allen County Public Library Geneaology Center,2009-08-28,8
325,Allen County Public Library Geneaology Center,2009-08-31,6
326,Allen County Public Library Geneaology Center,2009-09-01,10
327,Allen County Public Library Geneaology Center,2009-09-02,17
328,Allen County Public Library Geneaology Center,2009-09-03,11
329,Allen County Public Library Geneaology Center,2009-09-04,13
330,Allen County Public Library Geneaology Center,2009-09-08,13
331,Allen County Public Library Geneaology Center,2009-09-09,15
332,Allen County Public Library Geneaology Center,2009-09-10,15
333,Allen County Public Library Geneaology Center,2009-09-11,15
334,Allen County Public Library Geneaology Center,2009-09-14,12
335,Allen County Public Library Geneaology Center,2009-09-15,14
336,Allen County Public Library Geneaology Center,2009-09-16,12
337,Allen County Public Library Geneaology Center,2009-09-17,12
338,Allen County Public Library Geneaology Center,2009-09-18,12
339,Allen County Public Library Geneaology Center,2009-09-21,8
340,Allen County Public Library Geneaology Center,2009-09-22,12
341,Allen County Public Library Geneaology Center,2009-09-23,13
342,Allen County Public Library Geneaology Center,2009-09-24,12
343,Allen County Public Library Geneaology Center,2009-09-25,10
344,Allen County Public Library Geneaology Center,2009-09-28,11
345,Allen County Public Library Geneaology Center,2009-09-29,10
346,Allen County Public Library Geneaology Center,2009-09-30,13
347,Allen County Public Library Geneaology Center,2009-10-01,10
348,Allen County Public Library Geneaology Center,2009-10-02,11
349,Allen County Public Library Geneaology Center,2009-10-05,12
350,Allen County Public Library Geneaology Center,2009-10-06,9
351,Allen County Public Library Geneaology Center,2009-10-07,10
352,Allen County Public Library Geneaology Center,2009-10-08,14
353,Allen County Public Library Geneaology Center,2009-10-09,10
354,Allen County Public Library Geneaology Center,2009-10-12,11
355,Allen County Public Library Geneaology Center,2009-10-13,11
356,Allen County Public Library Geneaology Center,2009-10-14,11
357,Allen County Public Library Geneaology Center,2009-10-15,9
358,Allen County Public Library Geneaology Center,2009-10-16,10
359,Allen County Public Library Geneaology Center,2009-10-19,12
360,Allen County Public Library Geneaology Center,2009-10-20,9
361,Allen County Public Library Geneaology Center,2009-10-21,11
362,Allen County Public Library Geneaology Center,2009-10-22,8
363,Allen County Public Library Geneaology Center,2009-10-23,7
364,Allen County Public Library Geneaology Center,2009-10-26,8
365,Allen County Public Library Geneaology Center,2009-10-27,12
366,Allen County Public Library Geneaology Center,2009-10-28,12
367,Allen County Public Library Geneaology Center,2009-10-29,11
368,Allen County Public Library Geneaology Center,2009-10-30,9
369,Allen County Public Library Geneaology Center,2009-11-02,12
370,Allen County Public Library Geneaology Center,2009-11-03,10
371,Allen County Public Library Geneaology Center,2009-11-04,15
372,Allen County Public Library Geneaology Center,2009-11-05,12
373,Allen County Public Library Geneaology Center,2009-11-06,10
374,Allen County Public Library Geneaology Center,2009-11-09,14
375,Allen County Public Library Geneaology Center,2009-11-10,11
376,Allen County Public Library Geneaology Center,2009-11-11,14
377,Allen County Public Library Geneaology Center,2009-11-12,11
378,Allen County Public Library Geneaology Center,2009-11-13,12
379,Allen County Public Library Geneaology Center,2009-11-16,10
380,Allen County Public Library Geneaology Center,2009-11-17,9
