,month_year,center_type,index,name,books_scanned
181,2009-09,academic,26766,"BYU, ProvoColumbia UniversityNorth Carolina State UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Toronto",8092
182,2009-09,archive,1113,Church History Library,93
183,2009-09,bpo,1835,Hong Kong,2
184,2009-09,government,5255,Library of CongressSmithsonian Libraries and Archives,3970
185,2009-09,hq,6099,Internet Archive HeadquartersInternet Archive Sheridan HeadquartersInternt Archive Physical Archive,3019
186,2009-09,museum,2527,"Natural History Museum Library, London",139
187,2009-09,public,643,Allen County Public Library Geneaology CenterBoston Public Library,3361
188,2009-10,academic,29217,"BYU, ProvoColumbia UniversityNational Library of ScotlandNorth Carolina State UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Toronto",9029
189,2009-10,archive,1114,Church History Library,33
190,2009-10,government,5257,Library of CongressSmithsonian Libraries and Archives,3267
191,2009-10,hq,6102,Internet Archive HeadquartersInternet Archive Sheridan HeadquartersInternt Archive Physical Archive,3164
192,2009-10,museum,2528,"Natural History Museum Library, London",128
193,2009-10,public,645,Allen County Public Library Geneaology CenterBoston Public Library,3213
194,2009-11,academic,29227,"BYU, ProvoColumbia UniversityNational Library of ScotlandNorth Carolina State UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Toronto",8631
195,2009-11,archive,1115,Church History Library,47
196,2009-11,government,5259,Library of CongressSmithsonian Libraries and Archives,2953
197,2009-11,hq,1983,Internet Archive Headquarters,3369
198,2009-11,museum,2529,"Natural History Museum Library, London",83
199,2009-11,public,647,Allen County Public Library Geneaology CenterBoston Public Library,2473
200,2009-12,academic,29237,"BYU, ProvoColumbia UniversityNational Library of ScotlandNorth Carolina State UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Toronto",8357
201,2009-12,archive,1116,Church History Library,48
202,2009-12,bpo,1836,Hong Kong,1
203,2009-12,government,5261,Library of CongressSmithsonian Libraries and Archives,2382
204,2009-12,hq,1984,Internet Archive Headquarters,3139
205,2009-12,museum,2530,"Natural History Museum Library, London",50
206,2009-12,public,649,Allen County Public Library Geneaology CenterBoston Public Library,3098
207,2010-01,academic,29247,"BYU, ProvoColumbia UniversityNational Library of ScotlandNorth Carolina State UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Toronto",9071
208,2010-01,archive,1117,Church History Library,71
209,2010-01,government,5263,Library of CongressSmithsonian Libraries and Archives,2512
210,2010-01,hq,1985,Internet Archive Headquarters,4296
211,2010-01,museum,2531,"Natural History Museum Library, London",57
212,2010-01,public,651,Allen County Public Library Geneaology CenterBoston Public Library,2556
213,2010-02,academic,29257,"BYU, ProvoColumbia UniversityNational Library of ScotlandNorth Carolina State UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Toronto",8338
214,2010-02,archive,1118,Church History Library,37
215,2010-02,bpo,1837,Hong Kong,1
216,2010-02,government,5265,Library of CongressSmithsonian Libraries and Archives,2042
217,2010-02,hq,1986,Internet Archive Headquarters,4938
218,2010-02,museum,2532,"Natural History Museum Library, London",75
219,2010-02,public,653,Allen County Public Library Geneaology CenterBoston Public Library,2761
220,2010-03,academic,30165,"BYU, ProvoBrown UniversityColumbia UniversityNational Library of ScotlandNorth Carolina State UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Toronto",11315
221,2010-03,archive,1119,Church History Library,16
222,2010-03,bpo,1281,Datum Data Co. Ltd.,3
223,2010-03,government,5267,Library of CongressSmithsonian Libraries and Archives,2515
224,2010-03,hq,4090,Internet Archive HeadquartersInternt Archive Physical Archive,5807
225,2010-03,museum,2533,"Natural History Museum Library, London",82
226,2010-03,public,655,Allen County Public Library Geneaology CenterBoston Public Library,2548
227,2010-04,academic,24867,"BYU, ProvoBrown UniversityColumbia UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversity of Toronto",9287
228,2010-04,bpo,1282,Datum Data Co. Ltd.,31
229,2010-04,government,5269,Library of CongressSmithsonian Libraries and Archives,3266
230,2010-04,hq,1988,Internet Archive Headquarters,6458
231,2010-04,museum,2534,"Natural History Museum Library, London",32
232,2010-04,public,657,Allen County Public Library Geneaology CenterBoston Public Library,2469
233,2010-05,academic,25019,"BYU, ProvoBrown UniversityColumbia UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUniversidad Francisco MarroquínUniversity of Toronto",10160
234,2010-05,government,5271,Library of CongressSmithsonian Libraries and Archives,1730
235,2010-05,hq,1989,Internet Archive Headquarters,6172
236,2010-05,museum,2535,"Natural History Museum Library, London",38
237,2010-05,public,659,Allen County Public Library Geneaology CenterBoston Public Library,2507
