,scan_center,lat,long,name,center_visuals_path,data_repo_link,object_location
60,tt_swinburne,-37.82169275,145.0389975,Analysis and Policy Observatory (APO),analysis_and_policy_observatory_(apo),https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/analysis_and_policy_observatory_(apo)/
61,BookScanUS,33.78561232,-84.41203005,BookScanUS,bookscanus,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/bookscanus/
62,tt_amnh,"40.78192527034579,",-73.97246471,American Museum of Natural History,american_museum_of_natural_history,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/american_museum_of_natural_history/
63,harrisburg,40.2650287,-76.88065236,State Library of Pennsylvania,state_library_of_pennsylvania,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/state_library_of_pennsylvania/
64,CCLHYDERBAD,17.45672402,78.34022488,International Institute of Information Technology Hyderabad,international_institute_of_information_technology_hyderabad,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/international_institute_of_information_technology_hyderabad/
65,amherst,42.32188825,-72.52766762,Yiddish Book Center,yiddish_book_center,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/yiddish_book_center/
66,tt_stanfordlaw,37.4239279,-122.1674727,Stanford University,stanford_university,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/stanford_university/
67,Boston,42.34936189,-71.07819992,Boston Public Library,boston_public_library,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/boston_public_library/
68,miss,37.80039616,-122.4603638,Internet Archive Sheridan Headquarters,internet_archive_sheridan_headquarters,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/internet_archive_sheridan_headquarters/
69,tt_sanfrancisco,37.78244229,-122.4717902,Internet Archive Headquarters,internet_archive_headquarters,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/internet_archive_headquarters/
70,tt_bostonuniversity,42.34936189,-71.07819992,Boston Public Library,boston_public_library,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/boston_public_library/
71,tt_pem,42.71459464,-70.90700382,Peabody Essex Museum,peabody_essex_museum,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/peabody_essex_museum/
72,CCLHYDERABAD,17.45672402,78.34022488,International Institute of Information Technology Hyderabad,international_institute_of_information_technology_hyderabad,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/international_institute_of_information_technology_hyderabad/
73,tt_calacademy,37.77042434,-122.4661162,California Acaddemy of Sciences,california_acaddemy_of_sciences,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/california_acaddemy_of_sciences/
74,tt_jakarta,-6.176488669,106.8174559,"Centre for Strategic and International Studies, Jakarta",centre_for_strategic_and_international_studies_jakarta,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/centre_for_strategic_and_international_studies_jakarta/
75,S.V.Digital LibraryTTD,17.45672402,78.34022488,International Institute of Information Technology Hyderabad,international_institute_of_information_technology_hyderabad,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/international_institute_of_information_technology_hyderabad/
76,Hong Kong,22.31836625,114.181248,Hong Kong,hong_kong,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/hong_kong/
77,hangzhou,30.30877701,120.0865531,Zhejiang University,zhejiang_university,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/zhejiang_university/
78,clemson,34.67345992,-82.8367119,Clemson University,clemson_university,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/clemson_university/
79,Osmania University,17.41379886,78.52871404,Osmania University,osmania_university,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/osmania_university/
80,102,,,,nan,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/nan/
81,Kahle/Austin Foundation,37.79621158,-122.4492636,Kahle/Austin Foundation,kahle/austin_foundation,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/kahle/austin_foundation/
